date,PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene,AQI
15-04-2023,234.8645833,101.2395833,21.2223592,59.76309867,49.14494134,1.816870693,47.37026629,11.48944463,39.38994796,0.126661687,235.955819
16-04-2023,159,82.8125,13.54795491,42.63563028,33.71363996,1.979449991,17.0793603,11.7603737,43.67007172,0.12493723,175.4633621
17-04-2023,355.7604167,152.6979167,47.82031901,62.92872676,72.34836737,2.195447297,52.13923639,11.24117402,29.36647022,0.123192242,325.3263081
18-04-2023,309.1770833,119.875,28.42323816,50.66423386,50.04097097,1.492972642,18.65928039,10.22077356,33.73354161,0.121426722,299.5732759
19-04-2023,174.0520833,92.36458333,10.92555559,42.75119548,31.63905102,1.699723559,20.48950236,11.12036513,39.8083285,0.119640671,205.6584052
20-04-2023,153.6145833,72.42708333,6.660767315,39.5568305,26.48374123,2.00739197,18.53920035,9.946933282,45.60299589,0.117834088,140.0096983
21-04-2023,121.0416667,46.51041667,4.156324173,33.67674957,21.27577781,1.584311208,19.30621497,11.61827155,54.7450995,0.116006974,114.3162752
22-04-2023,141.15625,66.03125,9.624913434,44.62527233,31.60013472,1.239752108,23.48418404,11.61764614,33.8978625,0.114159328,127.6809983
23-04-2023,92.70833333,46.1875,5.076317491,38.91868355,24.78444423,2.430902169,31.68452235,9.573411102,43.0925756,0.112291151,105.1467487
24-04-2023,65.67708333,38.19791667,6.349854912,44.61947345,28.55689435,1.757553058,51.43077742,10.17978941,34.9824564,0.110402443,86.80011095
25-04-2023,62.88541667,35.61458333,4.775498382,43.44572525,26.97449952,1.955017275,45.99754599,10.11562467,48.03092902,0.108493203,97.55094052
26-04-2023,109.3958333,74.05208333,12.67113025,48.67682098,36.22320118,1.081523986,13.47827025,12.08125869,46.35177059,0.106563432,145.5571121
27-04-2023,65.64583333,29.03125,7.347913879,72.77157284,44.63814844,0.483827251,24.94643384,10.782772,48.04547257,0.103470304,90.91812998
28-04-2023,123.28125,48.57291667,22.39822131,78.78165221,60.0673293,1.331039892,21.04854963,11.02134762,40.80503052,0.1,115.8043205
29-04-2023,72.45833333,34.47916667,6.615327037,81.90793085,48.91583394,0.756195165,23.218981,10.81947318,41.52213466,0.1,101.9079309
30-04-2023,56.70746189,16.26468992,6.898969096,88.61637594,52.70701019,0.444120926,6.794989847,10.03450481,32.09500196,0.099975384,108.6163759
01-05-2023,44.02083333,11.375,11.41843334,92.30113128,58.39464076,0.720424126,12.2675607,9.758405898,35.75358454,0.1,112.3011313
